job_id,job_title,sector,district,industrial_cluster,required_micro_skills,nsqf_level,proficiency_level,experience_required_years,min_salary,max_salary,posting_source,demand_trend
4301B95D,CNC/VMC Operator,Precision Engineering,Aurangabad,Chikalthana,tool offsets; Fanuc CNC controls; G-code programming; CAD/CAM basics; tolerance measurement,4,L2,2.4,17302,35572,LinkedIn,Stable
A16A459E,Plumber,Construction,Nagpur,MIDC Nagpur,water treatment basics; sanitary installation; pressure testing,3,L3,0.2,12476,22437,Times Jobs,Stable
21C26FB1,Industrial IoT Technician,Industry 4.0,Sangli,Kupwad,cloud dashboards; sensor calibration; Python scripting; edge computing,5,L1,2.5,26876,48053,LinkedIn,Emerging
93B63ADE,Electrician (Industrial),Electrical,Kolhapur,Gokul-Shirgaon,motor winding; electrical drawings; safety regulations; earthing,3,L1,0.6,13517,24370,Company Website,Stable
2653CBB4,Green Building Technician,Construction,Thane,Murbad,energy auditing basics; IGBC norms; MEP coordination; BIM awareness,4,L1,1.9,18929,33509,LinkedIn,Emerging
262C9394,Plumber,Construction,Mumbai,Thane-Wagle,plumbing drawings; sanitary installation; water treatment basics,3,L1,1.7,14074,25844,apna.co,Stable
14DF5318,Industrial IoT Technician,Industry 4.0,Pune,Chakan,MQTT protocol; cloud dashboards; edge computing; OPC-UA; sensor calibration; Python scripting,5,L3,1.9,30223,63033,Company Website,Emerging
DB013D45,CNC/VMC Operator,Precision Engineering,Kolhapur,Shiroli,Fanuc CNC controls; tolerance measurement; tool offsets,4,L2,2.5,16333,34041,Naukri.com,Stable
4869CC50,Textile Loom Operator,Textiles,Kolhapur,Kagal,quality grading; loom maintenance; warp/weft threading; shuttle changeover,3,L2,3.7,9610,16199,Times Jobs,Declining
87CBF44D,Fitter (Industrial),Engineering,Pune,Chakan,assembly & fitting; surface finishing; bench work; blueprint reading,3,L2,1.7,14425,27762,Mahaswayam,Stable
E631ADC4,Drone Pilot / UAV Technician,AgriTech / Surveillance,Aurangabad,Waluj,DGCA certification; flight planning; GPS calibration; payload operations; geofencing; drone maintenance,4,L2,2.1,18474,41240,Naukri.com,Emerging
BDF932E0,Fitter (Industrial),Engineering,Kolhapur,Gokul-Shirgaon,blueprint reading; bench work; surface finishing; measurement tools; assembly & fitting,3,L2,0.5,12891,22972,Indeed,Stable
8CE58E35,Manual Draftsman (Drawing Board),Engineering,Aurangabad,Shendra-AURIC,2D blueprint reading; manual drawing board; basic AutoCAD; T-square drafting,3,L3,3.0,9448,14744,Mahaswayam,Declining
F02CFE87,Textile Loom Operator,Textiles,Mumbai,BKC,shuttle changeover; warp/weft threading; loom maintenance; quality grading,3,L2,1.1,10781,17748,NCS Portal,Declining
B789A953,Offset Printer Operator,Printing & Packaging,Pune,Ranjangaon,plate burning; ink mixing; bindery operations; color registration,3,L1,0.5,10328,19372,Mahaswayam,Declining
C23D72F1,AI-assisted Quality Inspector,Advanced Manufacturing,Aurangabad,Waluj,SPC analysis; computer vision basics; image annotation; CMM operation; Python/ML awareness; defect classification,5,L1,4.3,26855,48765,NCS Portal,Emerging
BB56562F,Plumber,Construction,Mumbai,Thane-Wagle,pipe fitting; sanitary installation; plumbing drawings,3,L2,2.6,13268,24579,apna.co,Stable
14BD40F0,Industrial IoT Technician,Industry 4.0,Thane,Bhiwandi,sensor calibration; edge computing; Python scripting; OPC-UA,5,L1,2.4,30920,59429,NCS Portal,Emerging
FAD8E955,Stenographer / Shorthand Typist,Administration,Mumbai,Thane-Wagle,Pitman shorthand; typing speed 60wpm; MS Word,2,L2,0.6,9148,15185,Company Website,Declining
F3D47D4D,Data Entry Operator,IT/BPO,Mumbai,Andheri-MIDC,typing speed 40wpm; tally basics; basic internet; MS Office,2,L2,3.3,9743,15011,Company Website,Declining
FE6E822E,Fitter (Industrial),Engineering,Nagpur,Hingna,assembly & fitting; blueprint reading; bench work; surface finishing; measurement tools; thread cutting,3,L1,7.8,13259,23452,Indeed,Stable
4EA7ECBA,Textile Loom Operator,Textiles,Kolhapur,Shiroli,power loom setup; quality grading; loom maintenance; warp/weft threading,3,L3,0.8,9507,14655,Mahaswayam,Declining
07F47119,Electrician (Industrial),Electrical,Nashik,Sinnar,electrical drawings; PLC basics; panel wiring; earthing; motor winding,3,L3,2.8,12916,24606,Company Website,Stable
F8FA3B79,Welder (MIG/TIG/Arc),Engineering,Parbhani,Parbhani MIDC,TIG welding; MIG welding; weld inspection; distortion control; SMAW,3,L2,1.9,10573,20530,NCS Portal,Stable
339C76C6,CNC/VMC Operator,Precision Engineering,Pune,Chakan,Fanuc CNC controls; tolerance measurement; quality inspection; tool offsets; G-code programming; CAD/CAM basics,4,L2,0.3,18664,39261,apna.co,Stable
C2740B57,EV Battery Assembly Technician,Electric Vehicles,Solapur,Chincholi,spot welding; thermal management; Li-ion cell handling; BMS calibration; EV safety protocols,4,L1,1.7,20819,40188,apna.co,Emerging
AC9BAE14,EV Battery Assembly Technician,Electric Vehicles,Wardha,Hinganghat,BMS calibration; spot welding; EV safety protocols; Li-ion cell handling; thermal management,4,L2,2.1,17808,32112,Indeed,Emerging
258AA278,Fitter (Industrial),Engineering,Nagpur,MIDC Nagpur,bench work; thread cutting; surface finishing; measurement tools; assembly & fitting,3,L2,7.8,13204,22769,Times Jobs,Stable
16CF5CA0,AC & Refrigeration Technician,HVAC,Thane,Bhiwandi,AMC documentation; VRF systems; BMS controls; refrigerant handling,4,L2,3.7,17303,31378,NCS Portal,Stable
A5B7F557,EV Battery Assembly Technician,Electric Vehicles,Nashik,Ambad,BMS calibration; EV safety protocols; thermal management; spot welding,4,L2,1.0,21662,37658,Times Jobs,Emerging
C76291E4,Turnerr / Machinist,Precision Engineering,Kolhapur,Gokul-Shirgaon,measurement tools; boring & drilling; lathe operation,3,L1,2.8,13293,23151,Indeed,Stable
9D31F835,EV Battery Assembly Technician,Electric Vehicles,Palghar,Boisar,Li-ion cell handling; BMS calibration; spot welding; DC bus wiring; EV safety protocols,4,L2,2.0,19417,36277,LinkedIn,Emerging
E57D29AC,Welder (MIG/TIG/Arc),Engineering,Kolhapur,Gokul-Shirgaon,SMAW; weld inspection; MIG welding,3,L1,3.3,13218,26959,Naukri.com,Stable
0A584EAE,Solar PV Installation Technician,Renewable Energy,Latur,Udgir,DC cabling; string inverter commissioning; net metering; earthing & bonding,4,L2,1.3,12759,25837,Indeed,Emerging
66460CC1,Manual Draftsman (Drawing Board),Engineering,Thane,Murbad,manual drawing board; 2D blueprint reading; T-square drafting; basic AutoCAD,3,L3,2.2,10379,16644,Mahaswayam,Declining
51C6B7E7,Drone Pilot / UAV Technician,AgriTech / Surveillance,Nashik,Satpur,DGCA certification; GPS calibration; flight planning,4,L2,1.9,18187,40617,apna.co,Emerging
FD59EAEE,AC & Refrigeration Technician,HVAC,Pune,Pimpri-Chinchwad,gas charging; refrigerant handling; BMS controls,4,L2,4.6,16477,31945,Times Jobs,Stable
A4FC9951,AC & Refrigeration Technician,HVAC,Mumbai,BKC,VRF systems; refrigerant handling; gas charging; AMC documentation; electrical troubleshooting,4,L1,4.7,16030,32067,Indeed,Stable
568D7D5C,Fitter (Industrial),Engineering,Palghar,Boisar,thread cutting; bench work; measurement tools; assembly & fitting,3,L1,4.1,12398,22146,Mahaswayam,Stable
DAEB2AE7,EV Battery Assembly Technician,Electric Vehicles,Palghar,Boisar,Li-ion cell handling; thermal management; BMS calibration,4,L3,1.5,19445,33652,Naukri.com,Emerging
54F8001B,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Solapur,Akkalkot,FANUC/KUKA commissioning; safety PLCs; pneumatic systems; PLC programming; robot teach pendant; servo motor calibration,5,L2,5.0,26531,51720,Indeed,Emerging
0BBD6641,AI-assisted Quality Inspector,Advanced Manufacturing,Aurangabad,Shendra-AURIC,Python/ML awareness; CMM operation; defect classification; computer vision basics; image annotation,5,L1,3.9,26833,47957,Naukri.com,Emerging
DB19FA99,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Aurangabad,Waluj,safety PLCs; PLC programming; pneumatic systems; servo motor calibration; robot teach pendant,5,L2,3.2,26726,49665,Mahaswayam,Emerging
015CD4D6,Offset Printer Operator,Printing & Packaging,Thane,Murbad,ink mixing; bindery operations; offset press operation,3,L2,0.8,10519,18435,Times Jobs,Declining
A56D80DA,Fitter (Industrial),Engineering,Osmanabad,Osmanabad MIDC,measurement tools; surface finishing; bench work; blueprint reading; thread cutting,3,L2,1.4,11047,19018,Indeed,Stable
65D5C13D,EV Battery Assembly Technician,Electric Vehicles,Ratnagiri,Lote Parshuram,BMS calibration; thermal management; EV safety protocols; spot welding; DC bus wiring,4,L2,0.6,18028,32547,Naukri.com,Emerging
6394EADE,Health & Safety Officer (Factory),Industrial Safety,Pune,Chakan,permit-to-work; fire drill coordination; MSDS interpretation; accident investigation; hazard identification; statutory compliance,5,L2,6.0,26114,48629,Indeed,Stable
DC0484F9,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Solapur,Akkalkot,PLC programming; servo motor calibration; robot teach pendant,5,L3,1.9,26463,48972,LinkedIn,Emerging
A26648D9,Plumber,Construction,Palghar,Boisar,sanitary installation; water treatment basics; plumbing drawings,3,L2,0.0,11331,19679,LinkedIn,Stable
2A934A3A,Fitter (Industrial),Engineering,Yavatmal,Pusad,blueprint reading; bench work; measurement tools,3,L1,6.9,10647,20526,Indeed,Stable
43470599,Fitter (Industrial),Engineering,Raigad,Khopoli,thread cutting; blueprint reading; measurement tools; bench work,3,L3,3.2,12072,21135,Indeed,Stable
08580328,Turnerr / Machinist,Precision Engineering,Kolhapur,Kagal,boring & drilling; turning & facing; lathe operation,3,L2,5.2,12761,24301,Naukri.com,Stable
1E12871F,Fitter (Industrial),Engineering,Mumbai,Andheri-MIDC,measurement tools; assembly & fitting; thread cutting; surface finishing,3,L1,6.5,14719,27843,apna.co,Stable
6ADF7636,Plumber,Construction,Kolhapur,Shiroli,pressure testing; plumbing drawings; water treatment basics; sanitary installation,3,L2,4.5,12711,22960,apna.co,Stable
98084052,Green Building Technician,Construction,Thane,Dombivli-MIDC,rainwater harvesting; IGBC norms; BIM awareness; MEP coordination; energy auditing basics; EV charging infra,4,L1,2.1,19211,32630,Naukri.com,Emerging
25D629AD,Welder (MIG/TIG/Arc),Engineering,Aurangabad,Shendra-AURIC,weld inspection; distortion control; TIG welding,3,L2,7.6,13788,26570,Company Website,Stable
EB273323,Welder (MIG/TIG/Arc),Engineering,Aurangabad,Waluj,distortion control; TIG welding; MIG welding,3,L3,6.5,13522,24723,LinkedIn,Stable
DC53CCFA,Electrician (Industrial),Electrical,Gondia,Gondia MIDC,safety regulations; electrical drawings; panel wiring; motor winding; earthing,3,L2,5.5,11245,21777,Naukri.com,Stable
64B0C2A8,Industrial IoT Technician,Industry 4.0,Thane,Dombivli-MIDC,edge computing; MQTT protocol; OPC-UA; sensor calibration,5,L3,3.6,31032,64428,Times Jobs,Emerging
AA0C8DA0,Offset Printer Operator,Printing & Packaging,Nashik,Sinnar,color registration; offset press operation; ink mixing; bindery operations,3,L2,1.5,9725,16373,Company Website,Declining
98781AB4,EV Battery Assembly Technician,Electric Vehicles,Nashik,Satpur,BMS calibration; Li-ion cell handling; thermal management; EV safety protocols,4,L1,1.5,21740,39588,Mahaswayam,Emerging
FC029608,Welder (MIG/TIG/Arc),Engineering,Akola,Akola MIDC,PPE compliance; weld inspection; MIG welding; TIG welding,3,L3,1.3,11271,20881,Company Website,Stable
65B713E7,Electrician (Industrial),Electrical,Mumbai,Andheri-MIDC,electrical drawings; earthing; motor winding; safety regulations,3,L2,4.5,15250,28167,LinkedIn,Stable
ECD655CA,Cold-Chain Logistics Coordinator,Logistics & Supply Chain,Wardha,Hinganghat,reefer truck ops; route optimization; WMS software; inventory management,4,L2,2.0,14077,27214,Mahaswayam,Emerging
18FFCBC7,Welder (MIG/TIG/Arc),Engineering,Akola,Akola MIDC,distortion control; TIG welding; weld inspection; MIG welding; SMAW; PPE compliance,3,L1,0.7,10755,21417,Company Website,Stable
444DAF38,Data Entry Operator,IT/BPO,Pune,Ranjangaon,basic internet; MS Office; typing speed 40wpm,2,L2,4.0,9241,15190,apna.co,Declining
97C10577,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Aurangabad,Chikalthana,PLC programming; robot teach pendant; servo motor calibration,5,L1,2.8,25768,52442,apna.co,Emerging
426E9571,Fitter (Industrial),Engineering,Raigad,Patalganga,bench work; assembly & fitting; blueprint reading,3,L1,6.2,12346,21119,NCS Portal,Stable
D3093587,EV Battery Assembly Technician,Electric Vehicles,Aurangabad,Chikalthana,thermal management; spot welding; Li-ion cell handling; DC bus wiring,4,L1,1.5,19833,39038,Company Website,Emerging
62D283EE,Solar PV Installation Technician,Renewable Energy,Nashik,Sinnar,DC cabling; net metering; string inverter commissioning,4,L2,2.9,15138,28627,Indeed,Emerging
1863D8AC,Stenographer / Shorthand Typist,Administration,Mumbai,BKC,MS Word; Pitman shorthand; filing systems,2,L2,1.0,9365,14538,Company Website,Declining
BDDBFC22,Fitter (Industrial),Engineering,Nanded,Nanded MIDC,surface finishing; blueprint reading; bench work,3,L3,5.1,11451,20860,Times Jobs,Stable
5BB39F5B,CNC/VMC Operator,Precision Engineering,Hingoli,Hingoli MIDC,tool offsets; G-code programming; Fanuc CNC controls; quality inspection; tolerance measurement; CAD/CAM basics,4,L3,2.0,14135,29111,Company Website,Stable
7AA452E3,Solar PV Installation Technician,Renewable Energy,Nashik,Satpur,earthing & bonding; shadow analysis; net metering; string inverter commissioning; rooftop module mounting; DC cabling,4,L1,1.0,15300,29933,Indeed,Emerging
F4D732DB,Welder (MIG/TIG/Arc),Engineering,Beed,Beed MIDC,weld inspection; distortion control; PPE compliance; MIG welding; TIG welding,3,L2,0.6,11157,20670,Company Website,Stable
CD8DEB89,Green Building Technician,Construction,Dhule,Dhule MIDC,EV charging infra; rainwater harvesting; energy auditing basics,4,L3,3.9,15322,29187,apna.co,Emerging
086CCFBD,Manual Draftsman (Drawing Board),Engineering,Pune,Talegaon,2D blueprint reading; T-square drafting; manual drawing board; basic AutoCAD,3,L2,0.3,10035,16458,NCS Portal,Declining
758B5A9F,Manual Draftsman (Drawing Board),Engineering,Thane,Bhiwandi,T-square drafting; manual drawing board; 2D blueprint reading; basic AutoCAD,3,L2,2.6,10587,16481,NCS Portal,Declining
4835B0CA,Fitter (Industrial),Engineering,Dhule,Dhule MIDC,surface finishing; blueprint reading; assembly & fitting; bench work; measurement tools,3,L1,5.6,12016,21730,Naukri.com,Stable
1265B879,AI-assisted Quality Inspector,Advanced Manufacturing,Nashik,Ambad,CMM operation; image annotation; defect classification; SPC analysis; computer vision basics,5,L2,3.8,26509,47396,Naukri.com,Emerging
21E5DF24,Textile Loom Operator,Textiles,Mumbai,Andheri-MIDC,warp/weft threading; power loom setup; quality grading; loom maintenance; shuttle changeover,3,L2,3.3,10026,16939,NCS Portal,Declining
71AE422B,Fitter (Industrial),Engineering,Palghar,Manor,blueprint reading; thread cutting; measurement tools; bench work; surface finishing; assembly & fitting,3,L2,7.8,11631,21177,Indeed,Stable
151A845E,Fitter (Industrial),Engineering,Akola,Akola MIDC,measurement tools; thread cutting; surface finishing; bench work,3,L1,1.3,10813,20145,Times Jobs,Stable
28FB597C,CNC/VMC Operator,Precision Engineering,Mumbai,Thane-Wagle,CAD/CAM basics; tolerance measurement; Fanuc CNC controls; G-code programming,4,L2,2.7,18620,38516,Company Website,Stable
50AA84B4,Turnerr / Machinist,Precision Engineering,Pune,Chakan,coolant management; measurement tools; boring & drilling,3,L1,4.6,14093,27827,Mahaswayam,Stable
D43C8707,Fitter (Industrial),Engineering,Kolhapur,Gokul-Shirgaon,measurement tools; blueprint reading; bench work; surface finishing; thread cutting; assembly & fitting,3,L3,2.0,13218,24658,NCS Portal,Stable
5F44481D,Drone Pilot / UAV Technician,AgriTech / Surveillance,Pune,Pimpri-Chinchwad,flight planning; GPS calibration; DGCA certification; geofencing; payload operations; drone maintenance,4,L3,2.2,20640,45815,Naukri.com,Emerging
F2DE7FE5,Solar PV Installation Technician,Renewable Energy,Nashik,Ambad,earthing & bonding; shadow analysis; net metering; string inverter commissioning,4,L2,2.6,14994,29923,apna.co,Emerging
AE8022C3,Fitter (Industrial),Engineering,Aurangabad,Shendra-AURIC,assembly & fitting; surface finishing; measurement tools; bench work; blueprint reading; thread cutting,3,L3,0.2,13231,24717,NCS Portal,Stable
E28A5318,Welder (MIG/TIG/Arc),Engineering,Chandrapur,Ballarpur,SMAW; PPE compliance; weld inspection; TIG welding,3,L1,0.1,11085,22448,Mahaswayam,Stable
6F82646C,Drone Pilot / UAV Technician,AgriTech / Surveillance,Ahmednagar,Shrirampur,drone maintenance; geofencing; DGCA certification; payload operations; GPS calibration,4,L2,0.2,17533,36606,Indeed,Emerging
246DA65A,Cold-Chain Logistics Coordinator,Logistics & Supply Chain,Nagpur,Hingna,temperature monitoring; WMS software; reefer truck ops,4,L2,0.8,17746,31370,Company Website,Emerging
A5718528,AC & Refrigeration Technician,HVAC,Pune,Pimpri-Chinchwad,BMS controls; gas charging; electrical troubleshooting; AMC documentation; refrigerant handling,4,L2,1.9,16671,33111,NCS Portal,Stable
52989FD4,AC & Refrigeration Technician,HVAC,Mumbai,Andheri-MIDC,BMS controls; electrical troubleshooting; gas charging,4,L2,4.8,17195,31860,LinkedIn,Stable
FFB835F5,Electrician (Industrial),Electrical,Nagpur,Butibori,earthing; safety regulations; panel wiring; motor winding; PLC basics; electrical drawings,3,L2,4.3,13673,26876,Mahaswayam,Stable
10653FFD,Green Building Technician,Construction,Nagpur,MIDC Nagpur,EV charging infra; IGBC norms; MEP coordination; energy auditing basics; BIM awareness; rainwater harvesting,4,L2,2.5,16617,30840,NCS Portal,Emerging
5218361E,Fitter (Industrial),Engineering,Thane,Bhiwandi,thread cutting; blueprint reading; assembly & fitting; bench work; surface finishing,3,L2,2.7,14941,27383,Times Jobs,Stable
1FB3A3A4,CNC/VMC Operator,Precision Engineering,Thane,Dombivli-MIDC,tool offsets; CAD/CAM basics; tolerance measurement; Fanuc CNC controls; G-code programming; quality inspection,4,L2,3.5,19443,36849,Indeed,Stable
CE0A3120,AC & Refrigeration Technician,HVAC,Osmanabad,Osmanabad MIDC,AMC documentation; gas charging; electrical troubleshooting; VRF systems; BMS controls; refrigerant handling,4,L1,5.7,12086,24128,Times Jobs,Stable
1FADDEE1,Industrial Robotics Maintenance Technician,Advanced Manufacturing,Solapur,Chincholi,pneumatic systems; robot teach pendant; safety PLCs,5,L1,1.9,25407,52950,Naukri.com,Emerging
DB13DCD0,Electrician (Industrial),Electrical,Pune,Pimpri-Chinchwad,safety regulations; earthing; motor winding; electrical drawings; PLC basics; panel wiring,3,L3,5.6,14833,29674,Naukri.com,Stable
CF9C1CD7,Welder (MIG/TIG/Arc),Engineering,Mumbai,Thane-Wagle,weld inspection; PPE compliance; TIG welding,3,L3,3.3,14076,27717,Times Jobs,Stable
