iti_id,iti_name,district,industrial_cluster,tier,iti_type,course_name,sector,nsqf_level,duration_months,annual_intake_seats,placement_rate_pct,skills_taught,skills_gap,demand_alignment,mismatch_flag
ITI-MH-0004,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,82,13.7,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0004,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Govt,Electrician,Electrical,3,24,43,52.7,panel wiring; earthing; motor winding; PLC basics; electrical drawings; safety regulations,VFD configuration; SCADA basics; smart metering; EV charging infra; solar grid interconnection,Stable,BALANCED
ITI-MH-0004,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Pvt,CNC/VMC Operator,Precision Engg,4,12,21,68.8,G-code programming; Fanuc CNC controls; tool offsets; quality inspection; CAD/CAM basics; tolerance measurement,5-axis machining; Mastercam post-processing; in-process gauging; robotic tending; digital twin simulation,Stable,BALANCED
ITI-MH-0004,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Pvt,Robotics & Automation,Adv Manufacturing,5,12,15,63.6,PLC programming; servo motor calibration; robot teach pendant; pneumatic systems; FANUC/KUKA commissioning,collaborative robot (cobot) programming; digital twin simulation; safety PLC; vision-guided robotics; ROS basics,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0005,NTTF Centre Talegaon,Pune,Talegaon,metro,Pvt,EV Battery Technician,Electric Vehicles,4,12,22,60.4,Li-ion cell handling; BMS calibration; spot welding; DC bus wiring; EV safety protocols; thermal management,solid-state battery handling; second-life battery repurposing; battery recycling processes; fast-charge system config,Emerging,BALANCED
ITI-MH-0005,NTTF Centre Talegaon,Pune,Talegaon,metro,Govt,Welder,Engineering,3,12,80,50.0,MIG welding; TIG welding; SMAW; weld inspection; distortion control; PPE compliance,underwater welding; robotic welding cell operation; NDT basics; structural welding codes; aluminium TIG,Stable,BALANCED
ITI-MH-0005,NTTF Centre Talegaon,Pune,Talegaon,metro,Govt,Turner / Machinist,Precision Engg,3,24,32,45.2,lathe operation; turning & facing; boring & drilling; measurement tools; coolant management,CNC turning centres; live tooling; precision grinding; CMM measurement; ISO 9001 documentation,Stable,BALANCED
ITI-MH-0006,Progressive Polytechnic & ITI Talegaon,Pune,Talegaon,metro,Govt,Shorthand & Stenography,Administration,2,12,30,17.0,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0006,Progressive Polytechnic & ITI Talegaon,Pune,Talegaon,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,7,78.5,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0006,Progressive Polytechnic & ITI Talegaon,Pune,Talegaon,metro,Pvt,CNC/VMC Operator,Precision Engg,4,12,57,55.6,G-code programming; Fanuc CNC controls; tool offsets; quality inspection; CAD/CAM basics; tolerance measurement,5-axis machining; Mastercam post-processing; in-process gauging; robotic tending; digital twin simulation,Stable,BALANCED
ITI-MH-0007,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Govt,Data Entry & Office Automation,IT/BPO,2,12,49,13.5,MS Office; typing speed 40wpm; basic internet browsing; data formatting; tally basics,AI/ML awareness; RPA tools; cloud-based ERP; Python scripting; database querying,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0007,Bharat ITI Pune,Pune,Pimpri-Chinchwad,metro,Pvt,Offset Printing Technology,Printing,3,12,41,15.8,offset press operation; color registration; ink mixing; plate burning; bindery operations,digital printing (UV/DTF); pre-press DTP software; packaging design; flexographic printing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0008,Shri Shivaji ITI Chakan,Pune,Chakan,metro,Pvt,Robotics & Automation,Adv Manufacturing,5,12,18,85.1,PLC programming; servo motor calibration; robot teach pendant; pneumatic systems; FANUC/KUKA commissioning,collaborative robot (cobot) programming; digital twin simulation; safety PLC; vision-guided robotics; ROS basics,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0008,Shri Shivaji ITI Chakan,Pune,Chakan,metro,Pvt,Cold-Chain & Logistics,Logistics,4,6,13,76.6,temperature monitoring; reefer truck ops; FSSAI cold-chain norms; inventory management; WMS software,blockchain-based traceability; EV reefer vehicle ops; predictive maintenance for cold rooms; last-mile route AI,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0008,Shri Shivaji ITI Chakan,Pune,Chakan,metro,Pvt,Solar PV Technician,Renewable Energy,4,6,35,57.6,string inverter commissioning; rooftop module mounting; earthing & bonding; DC cabling; net metering,BESS integration; bifacial module handling; SCADA monitoring; drone-based O&M; agrivoltaic installation,Emerging,BALANCED
ITI-MH-0009,JSW Skills ITI Ranjangaon,Pune,Ranjangaon,metro,Govt,Welder,Engineering,3,12,62,57.6,MIG welding; TIG welding; SMAW; weld inspection; distortion control; PPE compliance,underwater welding; robotic welding cell operation; NDT basics; structural welding codes; aluminium TIG,Stable,BALANCED
ITI-MH-0010,MSBTE Affiliated ITI Pune,Pune,Chakan,metro,Govt,Electrician,Electrical,3,24,49,61.2,panel wiring; earthing; motor winding; PLC basics; electrical drawings; safety regulations,VFD configuration; SCADA basics; smart metering; EV charging infra; solar grid interconnection,Stable,BALANCED
ITI-MH-0010,MSBTE Affiliated ITI Pune,Pune,Chakan,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,10,62.1,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0010,MSBTE Affiliated ITI Pune,Pune,Chakan,metro,Govt,Turner / Machinist,Precision Engg,3,24,48,56.2,lathe operation; turning & facing; boring & drilling; measurement tools; coolant management,CNC turning centres; live tooling; precision grinding; CMM measurement; ISO 9001 documentation,Stable,BALANCED
ITI-MH-0010,MSBTE Affiliated ITI Pune,Pune,Chakan,metro,Govt,Textile Weaving / Loom,Textiles,3,12,41,14.5,power loom setup; warp/weft threading; shuttle changeover; quality grading; loom maintenance,jacquard CAD design; technical textiles; ERP-based production planning; e-commerce product listing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0010,MSBTE Affiliated ITI Pune,Pune,Chakan,metro,Pvt,AC & Refrigeration Mechanic,HVAC,4,24,39,57.6,VRF systems; refrigerant handling; gas charging; electrical troubleshooting; BMS controls; AMC documentation,IoT-enabled HVAC monitoring; heat pump systems; cold-chain reefer servicing; LEED commissioning,Stable,BALANCED
ITI-MH-0011,MSBTE Affiliated ITI Pune,Pune,Pimpri-Chinchwad,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,41,13.7,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0011,MSBTE Affiliated ITI Pune,Pune,Pimpri-Chinchwad,metro,Govt,Textile Weaving / Loom,Textiles,3,12,59,19.2,power loom setup; warp/weft threading; shuttle changeover; quality grading; loom maintenance,jacquard CAD design; technical textiles; ERP-based production planning; e-commerce product listing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0012,Skill India Hub ITI Pune,Pune,Chakan,metro,Govt,Data Entry & Office Automation,IT/BPO,2,12,80,12.0,MS Office; typing speed 40wpm; basic internet browsing; data formatting; tally basics,AI/ML awareness; RPA tools; cloud-based ERP; Python scripting; database querying,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0012,Skill India Hub ITI Pune,Pune,Chakan,metro,Govt,Shorthand & Stenography,Administration,2,12,42,5.4,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0012,Skill India Hub ITI Pune,Pune,Chakan,metro,Govt,Electrician,Electrical,3,24,66,57.8,panel wiring; earthing; motor winding; PLC basics; electrical drawings; safety regulations,VFD configuration; SCADA basics; smart metering; EV charging infra; solar grid interconnection,Stable,BALANCED
ITI-MH-0012,Skill India Hub ITI Pune,Pune,Chakan,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,80,19.9,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0012,Skill India Hub ITI Pune,Pune,Chakan,metro,Pvt,AC & Refrigeration Mechanic,HVAC,4,24,28,55.5,VRF systems; refrigerant handling; gas charging; electrical troubleshooting; BMS controls; AMC documentation,IoT-enabled HVAC monitoring; heat pump systems; cold-chain reefer servicing; LEED commissioning,Stable,BALANCED
ITI-MH-0013,JSW Skills ITI Ranjangaon,Pune,Ranjangaon,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,49,13.3,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0013,JSW Skills ITI Ranjangaon,Pune,Ranjangaon,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,10,74.2,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0014,Rayat Shikshan Sanstha ITI Pune,Pune,Talegaon,metro,Pvt,Solar PV Technician,Renewable Energy,4,6,26,63.9,string inverter commissioning; rooftop module mounting; earthing & bonding; DC cabling; net metering,BESS integration; bifacial module handling; SCADA monitoring; drone-based O&M; agrivoltaic installation,Emerging,BALANCED
ITI-MH-0014,Rayat Shikshan Sanstha ITI Pune,Pune,Talegaon,metro,Pvt,CNC/VMC Operator,Precision Engg,4,12,21,51.2,G-code programming; Fanuc CNC controls; tool offsets; quality inspection; CAD/CAM basics; tolerance measurement,5-axis machining; Mastercam post-processing; in-process gauging; robotic tending; digital twin simulation,Stable,BALANCED
ITI-MH-0015,Seva Sahayak ITI Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,62,23.3,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0015,Seva Sahayak ITI Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Pvt,Green Building & Energy Audit,Construction,4,6,15,53.8,IGBC norms; MEP coordination; energy auditing basics; rainwater harvesting; BIM awareness; EV charging infra,ECBC compliance documentation; net-zero building modelling; green rating auditing; thermal comfort simulation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0015,Seva Sahayak ITI Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Pvt,Industrial IoT Technician,Industry 4.0,5,12,12,79.9,MQTT protocol; OPC-UA; edge computing; sensor calibration; Python scripting; cloud dashboards,cybersecurity for OT networks; digital thread; 5G private network config; ML-based anomaly detection,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0015,Seva Sahayak ITI Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Pvt,Cold-Chain & Logistics,Logistics,4,6,18,69.3,temperature monitoring; reefer truck ops; FSSAI cold-chain norms; inventory management; WMS software,blockchain-based traceability; EV reefer vehicle ops; predictive maintenance for cold rooms; last-mile route AI,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0015,Seva Sahayak ITI Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Govt,Shorthand & Stenography,Administration,2,12,37,13.0,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0016,KVK ITI Pune,Pune,Ranjangaon,metro,Pvt,Drone Pilot & UAV Maintenance,AgriTech,4,6,20,57.9,DGCA certification; flight planning; GPS calibration; payload operations; drone maintenance; geofencing,LiDAR data processing; multi-spectral imaging analysis; swarm drone coordination; FPV racing & repair,Emerging,BALANCED
ITI-MH-0016,KVK ITI Pune,Pune,Ranjangaon,metro,Govt,Shorthand & Stenography,Administration,2,12,49,13.6,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0017,Tata Strive Centre Ranjangaon,Pune,Ranjangaon,metro,Pvt,Cold-Chain & Logistics,Logistics,4,6,23,51.2,temperature monitoring; reefer truck ops; FSSAI cold-chain norms; inventory management; WMS software,blockchain-based traceability; EV reefer vehicle ops; predictive maintenance for cold rooms; last-mile route AI,Emerging,BALANCED
ITI-MH-0017,Tata Strive Centre Ranjangaon,Pune,Ranjangaon,metro,Govt,Textile Weaving / Loom,Textiles,3,12,40,18.0,power loom setup; warp/weft threading; shuttle changeover; quality grading; loom maintenance,jacquard CAD design; technical textiles; ERP-based production planning; e-commerce product listing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0017,Tata Strive Centre Ranjangaon,Pune,Ranjangaon,metro,Govt,Plumber,Construction,3,12,35,33.2,pipe fitting; sanitary installation; plumbing drawings; water treatment basics; pressure testing,CPVC/HDPE piping; rainwater harvesting systems; fire suppression piping; BIM coordination,Stable,BALANCED
ITI-MH-0017,Tata Strive Centre Ranjangaon,Pune,Ranjangaon,metro,Govt,Welder,Engineering,3,12,81,58.7,MIG welding; TIG welding; SMAW; weld inspection; distortion control; PPE compliance,underwater welding; robotic welding cell operation; NDT basics; structural welding codes; aluminium TIG,Stable,BALANCED
ITI-MH-0018,Maharashtra Industrial Training Institute Pimpri-Chinchwad,Pune,Pimpri-Chinchwad,metro,Pvt,Drone Pilot & UAV Maintenance,AgriTech,4,6,5,65.0,DGCA certification; flight planning; GPS calibration; payload operations; drone maintenance; geofencing,LiDAR data processing; multi-spectral imaging analysis; swarm drone coordination; FPV racing & repair,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0019,Govt ITI Mumbai,Mumbai,BKC,metro,Pvt,Drone Pilot & UAV Maintenance,AgriTech,4,6,11,60.9,DGCA certification; flight planning; GPS calibration; payload operations; drone maintenance; geofencing,LiDAR data processing; multi-spectral imaging analysis; swarm drone coordination; FPV racing & repair,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0019,Govt ITI Mumbai,Mumbai,BKC,metro,Govt,Textile Weaving / Loom,Textiles,3,12,52,14.2,power loom setup; warp/weft threading; shuttle changeover; quality grading; loom maintenance,jacquard CAD design; technical textiles; ERP-based production planning; e-commerce product listing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0019,Govt ITI Mumbai,Mumbai,BKC,metro,Pvt,Green Building & Energy Audit,Construction,4,6,8,77.8,IGBC norms; MEP coordination; energy auditing basics; rainwater harvesting; BIM awareness; EV charging infra,ECBC compliance documentation; net-zero building modelling; green rating auditing; thermal comfort simulation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0019,Govt ITI Mumbai,Mumbai,BKC,metro,Pvt,AI-Quality Inspection Tech,Adv Manufacturing,5,12,10,70.4,computer vision basics; image annotation; CMM operation; SPC analysis; defect classification; Python/ML awareness,model retraining pipelines; edge AI deployment; generative AI for test data; ISO 17025 lab accreditation,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0020,Lok Shikshan Sanstha ITI Thane-Wagle,Mumbai,Thane-Wagle,metro,Govt,Fitter,Engineering,3,24,117,41.6,bench work; assembly & fitting; measurement tools; blueprint reading; thread cutting; surface finishing,CNC fixture assembly; pneumatic systems; hydraulic fitting; 5S/lean manufacturing; digital measurement,Stable,BALANCED
ITI-MH-0020,Lok Shikshan Sanstha ITI Thane-Wagle,Mumbai,Thane-Wagle,metro,Govt,Plumber,Construction,3,12,60,50.7,pipe fitting; sanitary installation; plumbing drawings; water treatment basics; pressure testing,CPVC/HDPE piping; rainwater harvesting systems; fire suppression piping; BIM coordination,Stable,BALANCED
ITI-MH-0020,Lok Shikshan Sanstha ITI Thane-Wagle,Mumbai,Thane-Wagle,metro,Pvt,Offset Printing Technology,Printing,3,12,35,12.7,offset press operation; color registration; ink mixing; plate burning; bindery operations,digital printing (UV/DTF); pre-press DTP software; packaging design; flexographic printing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0020,Lok Shikshan Sanstha ITI Thane-Wagle,Mumbai,Thane-Wagle,metro,Pvt,Solar PV Technician,Renewable Energy,4,6,32,78.8,string inverter commissioning; rooftop module mounting; earthing & bonding; DC cabling; net metering,BESS integration; bifacial module handling; SCADA monitoring; drone-based O&M; agrivoltaic installation,Emerging,BALANCED
ITI-MH-0021,Tata Strive Centre BKC,Mumbai,BKC,metro,Pvt,Cold-Chain & Logistics,Logistics,4,6,21,53.6,temperature monitoring; reefer truck ops; FSSAI cold-chain norms; inventory management; WMS software,blockchain-based traceability; EV reefer vehicle ops; predictive maintenance for cold rooms; last-mile route AI,Emerging,BALANCED
ITI-MH-0021,Tata Strive Centre BKC,Mumbai,BKC,metro,Govt,Fitter,Engineering,3,24,42,43.0,bench work; assembly & fitting; measurement tools; blueprint reading; thread cutting; surface finishing,CNC fixture assembly; pneumatic systems; hydraulic fitting; 5S/lean manufacturing; digital measurement,Stable,BALANCED
ITI-MH-0021,Tata Strive Centre BKC,Mumbai,BKC,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,87,17.7,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0021,Tata Strive Centre BKC,Mumbai,BKC,metro,Pvt,EV Battery Technician,Electric Vehicles,4,12,13,81.1,Li-ion cell handling; BMS calibration; spot welding; DC bus wiring; EV safety protocols; thermal management,solid-state battery handling; second-life battery repurposing; battery recycling processes; fast-charge system config,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0021,Tata Strive Centre BKC,Mumbai,BKC,metro,Govt,Welder,Engineering,3,12,44,57.2,MIG welding; TIG welding; SMAW; weld inspection; distortion control; PPE compliance,underwater welding; robotic welding cell operation; NDT basics; structural welding codes; aluminium TIG,Stable,BALANCED
ITI-MH-0022,KVK ITI Mumbai,Mumbai,Thane-Wagle,metro,Pvt,Offset Printing Technology,Printing,3,12,30,8.4,offset press operation; color registration; ink mixing; plate burning; bindery operations,digital printing (UV/DTF); pre-press DTP software; packaging design; flexographic printing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0022,KVK ITI Mumbai,Mumbai,Thane-Wagle,metro,Govt,Textile Weaving / Loom,Textiles,3,12,49,16.9,power loom setup; warp/weft threading; shuttle changeover; quality grading; loom maintenance,jacquard CAD design; technical textiles; ERP-based production planning; e-commerce product listing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0022,KVK ITI Mumbai,Mumbai,Thane-Wagle,metro,Govt,Data Entry & Office Automation,IT/BPO,2,12,71,14.1,MS Office; typing speed 40wpm; basic internet browsing; data formatting; tally basics,AI/ML awareness; RPA tools; cloud-based ERP; Python scripting; database querying,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0023,Seva Sahayak ITI Thane-Wagle,Mumbai,Thane-Wagle,metro,Govt,Electrician,Electrical,3,24,111,63.1,panel wiring; earthing; motor winding; PLC basics; electrical drawings; safety regulations,VFD configuration; SCADA basics; smart metering; EV charging infra; solar grid interconnection,Stable,BALANCED
ITI-MH-0024,Bharat ITI Mumbai,Mumbai,Thane-Wagle,metro,Govt,Fitter,Engineering,3,24,111,45.7,bench work; assembly & fitting; measurement tools; blueprint reading; thread cutting; surface finishing,CNC fixture assembly; pneumatic systems; hydraulic fitting; 5S/lean manufacturing; digital measurement,Stable,BALANCED
ITI-MH-0024,Bharat ITI Mumbai,Mumbai,Thane-Wagle,metro,Pvt,CNC/VMC Operator,Precision Engg,4,12,47,70.2,G-code programming; Fanuc CNC controls; tool offsets; quality inspection; CAD/CAM basics; tolerance measurement,5-axis machining; Mastercam post-processing; in-process gauging; robotic tending; digital twin simulation,Stable,BALANCED
ITI-MH-0025,Lok Shikshan Sanstha ITI BKC,Mumbai,BKC,metro,Pvt,Offset Printing Technology,Printing,3,12,34,17.5,offset press operation; color registration; ink mixing; plate burning; bindery operations,digital printing (UV/DTF); pre-press DTP software; packaging design; flexographic printing,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0025,Lok Shikshan Sanstha ITI BKC,Mumbai,BKC,metro,Govt,Shorthand & Stenography,Administration,2,12,32,5.8,Pitman shorthand; typing speed 60wpm; MS Word; filing systems; basic correspondence,digital transcription tools; voice-to-text software; calendar management; CRM usage,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0026,Govt ITI Mumbai,Mumbai,BKC,metro,Govt,Draughtsman (Civil/Mechanical),Engineering,3,24,87,25.2,manual drawing board; T-square drafting; 2D blueprint reading; basic AutoCAD; orthographic projection,3D CAD modelling (SolidWorks/CATIA); BIM software; parametric design; GD&T; simulation basics,Declining,BALANCED
ITI-MH-0026,Govt ITI Mumbai,Mumbai,BKC,metro,Govt,Data Entry & Office Automation,IT/BPO,2,12,80,12.8,MS Office; typing speed 40wpm; basic internet browsing; data formatting; tally basics,AI/ML awareness; RPA tools; cloud-based ERP; Python scripting; database querying,Declining,OVERSUPPLY_LOW_PLACEMENT
ITI-MH-0026,Govt ITI Mumbai,Mumbai,BKC,metro,Pvt,Industrial IoT Technician,Industry 4.0,5,12,7,75.9,MQTT protocol; OPC-UA; edge computing; sensor calibration; Python scripting; cloud dashboards,cybersecurity for OT networks; digital thread; 5G private network config; ML-based anomaly detection,Emerging,UNDERSUPPLY_HIGH_DEMAND
ITI-MH-0026,Govt ITI Mumbai,Mumbai,BKC,metro,Govt,Turner / Machinist,Precision Engg,3,24,68,42.2,lathe operation; turning & facing; boring & drilling; measurement tools; coolant management,CNC turning centres; live tooling; precision grinding; CMM measurement; ISO 9001 documentation,Stable,BALANCED
ITI-MH-0027,Tata Strive Centre Andheri-MIDC,Mumbai,Andheri-MIDC,metro,Pvt,AC & Refrigeration Mechanic,HVAC,4,24,51,55.9,VRF systems; refrigerant handling; gas charging; electrical troubleshooting; BMS controls; AMC documentation,IoT-enabled HVAC monitoring; heat pump systems; cold-chain reefer servicing; LEED commissioning,Stable,BALANCED
